-0.2,-0.178,-0.079,-0.098,-0.1,-0.128,-0.189,-0.211,-0.223,-0.249,-0.278,-0.125
-0.077,0.009,-0.011,0.042,0,-0.046,-0.057,-0.045,-0.001,0.012,0.002,0.079
0.08,0.086,-0.035,-0.017,-0.188,-0.262,-0.232,-0.166,-0.098,-0.101,-0.236,-0.154
-0.248,-0.2,-0.21,-0.157,-0.125,-0.264,-0.231,-0.215,-0.152,-0.115,-0.11,-0.129
-0.065,0.103,0.205,0.147,0.008,0.026,0.092,-0.103,-0.109,-0.187,-0.126,-0.034
-0.012,-0.05,0.017,0.018,-0.048,-0.184,-0.202,-0.143,-0.14,-0.198,-0.242,-0.211
-0.248,-0.294,-0.312,-0.415,-0.328,-0.365,-0.351,-0.437,-0.368,-0.237,-0.245,-0.31
-0.319,-0.382,-0.441,-0.328,-0.471,-0.49,-0.377,-0.385,-0.304,-0.288,-0.279,-0.352
-0.375,-0.395,-0.345,-0.266,-0.17,-0.177,-0.105,-0.134,-0.132,-0.217,-0.21,-0.239
-0.277,-0.285,-0.402,-0.525,-0.501,-0.449,-0.516,-0.469,-0.507,-0.509,-0.427,-0.362
-0.274,-0.34,-0.311,-0.346,-0.389,-0.296,-0.273,-0.186,-0.337,-0.355,-0.342,-0.323
-0.386,-0.442,-0.495,-0.427,-0.489,-0.485,-0.308,-0.186,-0.194,-0.294,-0.417,-0.433
-0.39,-0.334,-0.184,-0.218,-0.171,-0.108,-0.107,-0.146,-0.233,-0.225,-0.144,-0.205
-0.107,-0.148,-0.159,-0.196,-0.205,-0.333,-0.277,-0.227,-0.19,-0.208,-0.12,-0.183
-0.193,-0.151,-0.228,-0.237,-0.118,-0.042,-0.094,-0.115,-0.109,-0.088,-0.085,-0.059
-0.001,-0.078,-0.138,0,0.13,0.109,0.051,0.024,-0.007,-0.061,-0.196,-0.249
-0.176,-0.175,0.006,-0.09,-0.079,-0.057,-0.089,-0.11,-0.031,-0.181,-0.131,-0.001
-0.076,-0.073,-0.075,-0.177,-0.186,-0.179,-0.223,-0.303,-0.302,-0.366,-0.412,-0.375
-0.293,-0.098,0.087,0.065,-0.043,-0.049,-0.01,-0.153,-0.21,-0.19,-0.153,0.003
-0.101,-0.083,-0.119,-0.152,-0.16,-0.319,-0.26,-0.22,-0.203,-0.338,-0.419,-0.312
-0.349,-0.324,-0.351,-0.396,-0.332,-0.123,-0.148,-0.276,-0.242,-0.24,-0.29,-0.332
-0.338,-0.27,-0.288,-0.32,-0.223,-0.256,-0.244,-0.267,-0.215,-0.313,-0.392,-0.366
-0.273,-0.213,-0.028,0.034,0.073,0.208,0.284,0.284,0.199,0.051,-0.065,0.048
